# nu, E_nu, Tgas = 3.96018, Trad = 3.63244, vel = 2.04951e+07, x = 0.0135505
1.000000000000e+15, 6.441897141479e+05
1.433012570000e+15, 1.892515897326e+06
2.053525030000e+15, 5.555921784095e+06
2.942727180000e+15, 1.629367747874e+07
4.216965030000e+15, 4.771239301133e+07
6.042963900000e+15, 1.394141589502e+08
8.659643230000e+15, 4.061208428943e+08
1.240937760000e+16, 1.177800762093e+09
1.778279410000e+16, 3.393851738849e+09
2.548296750000e+16, 9.688511545058e+09
3.651741270000e+16, 2.728461004076e+10
5.232991150000e+16, 7.532130503593e+10
7.498942090000e+16, 2.018765049042e+11
1.074607830000e+17, 5.176783041049e+11
1.539926530000e+17, 1.241581432896e+12
2.206734070000e+17, 2.687739559309e+12
3.162277660000e+17, 4.966897736983e+12
4.531583640000e+17, 7.196032647130e+12
6.493816320000e+17, 7.227277234911e+12
9.305720410000e+17, 4.265452363574e+12
1.333521430000e+18, 1.200040779830e+12
1.910952970000e+18, 1.235584093802e+11
2.738419630000e+18, 3.255345705555e+09
3.924189760000e+18, 1.330045234194e+07
5.623413250000e+18, 4.022349042456e+03
8.058421880000e+18, 3.236075963635e-02
1.154781980000e+19, 5.344149206029e-03
1.654817100000e+19, 5.344149177815e-03
2.371373710000e+19, 5.344149177815e-03
3.398208330000e+19, 5.344149177815e-03
4.869675250000e+19, 5.344149177815e-03
6.978305850000e+19, 5.344149177815e-03
