# nu, F_nu
1.000000000000e+15, -1.231929024879e+12
1.433012570000e+15, -3.735395028171e+12
2.053525030000e+15, -1.133654567433e+13
2.942727180000e+15, -2.996216428363e+13
4.216965030000e+15, -9.089353110304e+13
6.042963900000e+15, -2.749861019087e+14
8.659643230000e+15, -8.292438507856e+14
1.240937760000e+16, -2.419957183145e+15
1.778279410000e+16, -6.623040360821e+15
2.548296750000e+16, -1.998597433495e+16
3.651741270000e+16, -5.827180895320e+16
5.232991150000e+16, -1.642026737067e+17
7.498942090000e+16, -4.286594932224e+17
1.074607830000e+17, -1.056480290221e+18
1.539926530000e+17, -2.203076316578e+18
2.206734070000e+17, -3.612226444977e+18
3.162277660000e+17, -4.449336238631e+18
4.531583640000e+17, -4.088071091429e+18
6.493816320000e+17, -2.717764088257e+18
9.305720410000e+17, -1.134375261366e+18
1.333521430000e+18, -2.409094856487e+17
1.910952970000e+18, -2.028973726806e+16
2.738419630000e+18, -4.832006146957e+14
3.924189760000e+18, -1.957923821206e+12
5.623413250000e+18, -6.187231603341e+08
8.058421880000e+18, 3.268132535656e+05
1.154781980000e+19, 3.312344486742e+05
1.654817100000e+19, 3.312344790002e+05
2.371373710000e+19, 3.312344785908e+05
3.398208330000e+19, 3.312344785908e+05
4.869675250000e+19, 3.312344785908e+05
6.978305850000e+19, 3.312344785908e+05
